name,description,price,compare_price,stock,category_id,image_url
Sony WH-1000XM5,Industry leading noise canceling headphones,29900,34990,45,,https://images.unsplash.com/photo-1618366712010-f4ae9c647dcb?auto=format&fit=crop&w=800&q=80
Samsung Galaxy Watch 6,Advanced health monitoring smart watch,23999,29999,120,,https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?auto=format&fit=crop&w=800&q=80
Bose SoundLink Flex,Waterproof portable bluetooth speaker,13500,15900,85,,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?auto=format&fit=crop&w=800&q=80
Dell XPS 13,Premium thin and light laptop for professionals,135000,145000,20,,https://images.unsplash.com/photo-1593642632823-8f785ba67e45?auto=format&fit=crop&w=800&q=80
Men's Premium Cotton T-Shirt,Classic fit 100% organic cotton tee,899,1299,250,,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=800&q=80
Nike Air Max 270,Stylish and comfortable everyday lifestyle shoes,12995,14995,60,,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=800&q=80
Levi's 501 Original Fit,The classic straight leg denim jeans,3599,4299,180,,https://images.unsplash.com/photo-1542272604-787c3835535d?auto=format&fit=crop&w=800&q=80
Ray-Ban Classic Aviator,Iconic sunglasses with UV protection,8500,9990,40,,https://images.unsplash.com/photo-1511499767150-a48a237f0083?auto=format&fit=crop&w=800&q=80
Dyson V15 Detect,Powerful cordless vacuum with laser illumination,58900,65900,15,,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?auto=format&fit=crop&w=800&q=80
Nespresso Vertuo Next,Premium coffee and espresso maker,14999,18999,35,,https://images.unsplash.com/photo-1517246281856-c0c4c4b6938a?auto=format&fit=crop&w=800&q=80
